Month,Closing Values
1-Jun-2019,26599.96
1-Jul-2019,26864.27
1-Aug-2019,26403.28
1-Sep-2019,26916.83
1-Oct-2019,27046.23
1-Nov-2019,28051.41
1-Dec-2019,28538.44
1-Jan-2020,28256.03
1-Feb-2020,25409.36
1-Mar-2020,21917.16
1-Apr-2020,24345.72
1-May-2020,25383.11
1-Jun-2020,25812.88
1-Jul-2020,26428.32
1-Aug-2020,28430.05
1-Sep-2020,27781.70
1-Oct-2020,26501.60
1-Nov-2020,29638.64
1-Dec-2020,30606.48
1-Jan-2021,29982.62
1-Feb-2021,30932.37
1-Mar-2021,32981.55
1-Apr-2021,33874.85
1-May-2021,34529.45
1-Jun-2021,34502.51
1-Jul-2021,34935.47
1-Aug-2021,35208.51
